timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
3150912000,nan,nan,0.0,2.0,nan,nan,nan,530,1,1,1,1,0,0
3150912000,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
3151260000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,255,190,0,1
3195744000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
3201120000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
3243760000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
3293488000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
3346456000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
3398644000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
3450948000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
3513044000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
3549892000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
3554876000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,1,1,1,1,0,0
3554932000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,1,1,1,0,0
3554988000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
3628124000,0.0,0.0,0.0,2.0,50.0,nan,0.0171788,0,1,1,1,1,0,0
